product_name,hsn,qty,qty_free,batch_no,expiry,mrp,rate,discount,sgst,cgst,supplier_name
LEGITIM-100 TAB 10,3004,30,30,SPI251924,5/27,70.31,53.91,3.00,2.50,2.50,Parshuram Pharma
FERRIHUB TAB 10,3004,9,9,JTD25G29A,12/26,106.88,81.94,3.00,2.50,2.50,Parshuram Pharma
FEXOCOLD TAB 10,3004,10,20,T25K099A,10/27,70.31,53.91,3.00,2.50,2.50,Parshuram Pharma
FEXOCOLD-M TAB 10,3004,30,30,DT260145A,12/27,123.75,94.88,3.00,2.50,2.50,Parshuram Pharma
LENACEF 200 DT TAB,3004,20,20,T250189V,3/27,166.88,127.95,3.00,2.50,2.50,Parshuram Pharma
TENADERM PLUS CREAM 30G,3004,10,10,2509558,8/27,82.00,63.25,3.00,2.50,2.50,Parshuram Pharma
MAGNEMIDE CREAM 75GM,3004,5,5,ME-8115,1/28,225.00,172.51,3.00,2.50,2.50,Parshuram Pharma
LEGOLID-600MG TAB 10,3004,10,10,DT251153A,7/27,271.88,208.45,3.00,2.50,2.50,Parshuram Pharma
LENACEF-S TAB 10TAB,3004,25,25,CT25292B,1/27,281.25,215.64,3.00,2.50,2.50,Parshuram Pharma
LENACEF O TAB 10TAB,3004,50,50,CT25344B,2/28,186.56,143.04,3.00,2.50,2.50,Parshuram Pharma
ESIZOLE-LS CAP 10,3004,30,30,SC260019,2/28,138.75,106.38,3.00,2.50,2.50,Parshuram Pharma
ACELOSINE-P TAB 10,3004,50,50,RT2603-054,2/28,143.00,108.95,3.00,2.50,2.50,Parshuram Pharma
OSTEOFIRM CAP 15,3004,20,20,S6BO025A,1/28,232.50,178.26,3.00,2.50,2.50,Parshuram Pharma
PURGONET SYP 170ML,3004,20,20,2601304,12/27,101.00,76.95,3.00,2.50,2.50,Parshuram Pharma
SORTINET-C SYP 200ML,3004,20,20,L6A056,12/27,111.56,85.54,3.00,2.50,2.50,Parshuram Pharma
TEEDOX 325 TAB 10,3004,30,30,T26O127F,7/27,328.00,249.90,3.00,2.50,2.50,Parshuram Pharma
CHYMERA GEL-30 GM,300494,30,6,YE653,11/27,178.13,135.72,4.00,2.50,2.50,Ashish Agencies
CHYMERA GEL-30 GM,300494,20,4,YF682,12/27,178.13,135.72,4.00,2.50,2.50,Ashish Agencies
CHYMERA GEL-30 GM,300494,30,6,XF564,10/27,178.13,105.00,4.00,2.50,2.50,Ashish Agencies
CHYMERA TAB,300494,20,4,25S3GTB314,12/27,164.06,125.01,4.00,2.50,2.50,Ashish Agencies
CHYMERA TAB,300494,5,1,26S5GTA055,9/27,164.06,125.01,4.00,2.50,2.50,Ashish Agencies
COUGHWILL DS SYP,3004060,10,2,CHW25002,9/27,79.41,60.50,4.00,2.50,2.50,Ashish Agencies
COUGHWILL LS SYP,3004060,20,4,CHP25002,11/27,97.50,74.29,4.00,2.50,2.50,Ashish Agencies
MONTIBRO LC TAB,3004020,30,6,AIT02ANA,2/27,113.44,86.43,4.00,2.50,2.50,Ashish Agencies
NEUROBID-NT TAB,3004019,70,14,AIT04AFA,7/27,206.25,157.15,4.00,2.50,2.50,Ashish Agencies
PACELEX TAB,300420,30,6,WPA350701,6/27,164.06,125.01,4.00,2.50,2.50,Ashish Agencies
PEPSICA-D TAB,300420,30,6,WCA325002,1/28,164.06,137.15,4.00,2.50,2.50,Ashish Agencies
REOCEF LB 200 TAB,300420,40,8,YT2392C,9/27,180.00,154.68,4.00,2.50,2.50,Ashish Agencies
REOCEF CF 200 TAB,300420,30,6,YZ3932C,9/27,180.00,154.68,4.00,2.50,2.50,Ashish Agencies
WILFER TAB,300420,20,4,ATFZC5004,8/27,144.38,110.01,4.00,2.50,2.50,Ashish Agencies
REOCLAY LB 625 TAB,300494,30,9,TACLBS115,2/27,234.28,178.51,4.00,2.50,2.50,Ashish Agencies
